agence,effectif,nb_gestionnaires,nb_clients,total_comptes,production_credits,collecte_epargne
BIZERTE,10,8,1795,799,6300000,812500
MGHIRA,9,6,1791,607,5880000,690000
MONASTIR,12,10,1497,557,7000000,450000
GROMBALIA,12,6,1451,618,5400000,662500
BEN AROUS,18,7,1313,708,8300000,720000
CENTRALE,26,9,1226,528,59400000,420000
NABEUL,8,7,1225,669,6350000,840000
SFAX 2,15,6,1154,436,4750000,385000
LA MARSA,8,5,1126,618,6250000,662500
PALMARIUM,13,5,1118,712,8100000,732500
SOUKRA,14,6,1088,542,4700000,480000
MENZAH 9,13,8,1078,584,5100000,630000
HAMMEM SOUSSE,15,10,1058,502,6500000,270000
GABES,11,8,1021,499,5920000,450000
LE KRAM,8,6,1016,618,5450000,662500
SOUSSE,16,9,1004,436,6200000,385000
MEGRINE,11,7,999,472,4224000,480000
BARDO,8,6,977,623,5540000,650000
LIBERTE,12,6,945,607,7300000,690000
SFAX,15,10,915,619,5250000,600000
ARIANA,13,8,895,561,5100000,600000
BERGES DU LAC,15,5,802,561,5912000,600000
MOUROUJ6,10,5,784,597,5324000,690000
DJERBA,15,10,753,447,5350000,360000
CENTRE URBAIN,14,7,724,417,4780000,360000
ALAIN SAVARY,14,8,589,387,3850000,427500
ENNASR,9,3,552,333,2370487,210000
SFAX 3,14,7,488,729,21250000,600000
BEJA,10,9,195,801,8400000,862500
El Ghazella,14,9,85,429,3270000,450000
MONTPLAISIR,7,5,80,426,4350000,457500
RADES,8,6,78,521,4850000,552500
MOUROUJ1,9,6,61,603,12200000,577500
SFAX4,8,6,46,431,4300000,385000
LAC 2,4,3,5,639,36044260,3508025
SOUSSE 3,6,3,3,522,3800000,495000
AGBA,5,5,2,0,0,0
SIEGE,540,76,1,273,25300000,180000
Menzah 6,4,4,1,0,0,0
MAHDIA,5,4,1,24,1500000,0
Agence Régionale Tunis Sud,1,1,0,24,17706730,0
Agence Régionale Tunis Nord,1,1,0,24,24817302,0
Agence Internationale,1,1,0,0,0,0
Agence Premium Siège,2,2,0,0,0,0
Agence Premium Tunis Sud,1,1,0,0,0,0
SFAX 5,5,3,0,0,0,0
Zaghouan Hammam Zriba,3,2,0,0,0,0
HAMMAMET,5,5,0,476,3800000,480000
INTERNATIONAL,0,0,0,0,0,0
