agence,nb_gestionnaires,effectif,nb_clients,total_comptes,production_credits,collecte_epargne
BIZERTE,8,10,1795,799,6300000,812500
MGHIRA,6,9,1791,607,5880000,690000
MONASTIR,10,12,1497,557,7000000,450000
GROMBALIA,6,12,1451,618,5400000,662500
BEN AROUS,7,18,1313,708,8300000,720000
CENTRALE,9,26,1226,528,59400000,420000
NABEUL,7,8,1225,669,6350000,840000
SFAX 2,6,15,1154,436,4750000,385000
LA MARSA,5,8,1126,618,6250000,662500
PALMARIUM,5,13,1118,712,8100000,732500
SOUKRA,6,14,1088,542,4700000,480000
MENZAH 9,8,13,1078,584,5100000,630000
HAMMEM SOUSSE,10,15,1058,502,6500000,270000
GABES,8,11,1021,499,5920000,450000
LE KRAM,6,8,1016,618,5450000,662500
SOUSSE,9,16,1004,436,6200000,385000
MEGRINE,7,11,999,472,4224000,480000
BARDO,6,8,977,623,5540000,650000
LIBERTE,6,12,945,607,7300000,690000
SFAX,10,15,915,619,5250000,600000
ARIANA,8,13,895,561,5100000,600000
BERGES DU LAC,5,15,802,561,5912000,600000
MOUROUJ6,5,10,784,597,5324000,690000
DJERBA,10,15,753,447,5350000,360000
CENTRE URBAIN,7,14,724,417,4780000,360000
ALAIN SAVARY,8,14,589,387,3850000,427500
ENNASR,3,9,552,333,2370487,210000
SFAX 3,7,14,488,729,21250000,600000
BEJA,9,10,195,801,8400000,862500
El Ghazella,9,14,85,429,3270000,450000
MONTPLAISIR,5,7,80,426,4350000,457500
RADES,6,8,78,521,4850000,552500
MOUROUJ1,6,9,61,603,12200000,577500
SFAX4,6,8,46,431,4300000,385000
LAC 2,3,4,5,639,36044260,3508025
SOUSSE 3,3,6,3,522,3800000,495000
AGBA,5,5,2,0,0,0
SIEGE,76,540,1,273,25300000,180000
Menzah 6,4,4,1,0,0,0
MAHDIA,4,5,1,24,1500000,0
Agence Régionale Tunis Sud,1,1,0,24,17706730,0
Agence Régionale Tunis Nord,1,1,0,24,24817302,0
Agence Internationale,1,1,0,0,0,0
Agence Premium Siège,2,2,0,0,0,0
Agence Premium Tunis Sud,1,1,0,0,0,0
SFAX 5,3,5,0,0,0,0
Zaghouan Hammam Zriba,2,3,0,0,0,0
HAMMAMET,5,5,0,476,3800000,480000
INTERNATIONAL,0,0,0,0,0,0
