SK_UTILISATEUR,LIBELLE_UTILISATEUR,SK_AGENCE
2,Employe 0002,1
4,Employe 0004,1
7,Employe 0007,1
11,Employe 0011,1
19,Employe 0019,1
21,Employe 0021,1
31,Employe 0031,1
32,Employe 0032,1
37,Employe 0037,1
38,Employe 0038,1
40,Employe 0040,1
43,Employe 0043,1
47,Employe 0047,1
48,Employe 0048,1
55,Employe 0055,1
58,Employe 0058,1
60,Employe 0060,1
61,Employe 0061,1
62,Employe 0062,1
65,Employe 0065,1
70,Employe 0070,1
71,Employe 0071,1
72,Employe 0072,1
77,Employe 0077,1
79,Employe 0079,1
83,Employe 0083,1
86,Employe 0086,1
94,Employe 0094,1
99,Employe 0099,1
101,Employe 0101,1
102,Employe 0102,1
104,Employe 0104,1
114,Employe 0114,1
115,Employe 0115,1
116,Employe 0116,1
117,Employe 0117,2
118,Employe 0118,2
119,Employe 0119,2
121,Employe 0121,2
124,Employe 0124,2
125,Employe 0125,2
126,Employe 0126,2
127,Employe 0127,2
128,Employe 0128,2
131,Employe 0131,2
132,Employe 0132,2
136,Employe 0136,2
141,Employe 0141,2
146,Employe 0146,2
148,Employe 0148,2
149,Employe 0149,2
151,Employe 0151,2
162,Employe 0162,2
166,Employe 0166,2
167,Employe 0167,2
169,Employe 0169,2
178,Employe 0178,2
179,Employe 0179,2
180,Employe 0180,2
181,Employe 0181,2
186,Employe 0186,2
189,Employe 0189,2
196,Employe 0196,2
197,Employe 0197,2
202,Employe 0202,2
203,Employe 0203,2
206,Employe 0206,2
207,Employe 0207,2
208,Employe 0208,2
209,Employe 0209,2
210,Employe 0210,2
211,Employe 0211,2
213,Employe 0213,2
214,Employe 0214,2
220,Employe 0220,2
221,Employe 0221,2
223,Employe 0223,2
225,Employe 0225,2
231,Employe 0231,3
233,Employe 0233,3
234,Employe 0234,3
236,Employe 0236,3
240,Employe 0240,3
242,Employe 0242,3
243,Employe 0243,3
247,Employe 0247,3
249,Employe 0249,3
255,Employe 0255,3
256,Employe 0256,3
260,Employe 0260,3
262,Employe 0262,3
263,Employe 0263,3
264,Employe 0264,3
265,Employe 0265,3
268,Employe 0268,3
274,Employe 0274,3
280,Employe 0280,3
283,Employe 0283,3
285,Employe 0285,3
289,Employe 0289,3
296,Employe 0296,3
297,Employe 0297,3
311,Employe 0311,3
312,Employe 0312,3
319,Employe 0319,3
320,Employe 0320,3
326,Employe 0326,3
327,Employe 0327,3
331,Employe 0331,3
332,Employe 0332,3
333,Employe 0333,3
334,Employe 0334,3
341,Employe 0341,3
342,Employe 0342,3
343,Employe 0343,3
346,Employe 0346,3
347,Employe 0347,3
349,Employe 0349,4
351,Employe 0351,4
360,Employe 0360,4
364,Employe 0364,4
365,Employe 0365,4
371,Employe 0371,4
376,Employe 0376,4
381,Employe 0381,4
384,Employe 0384,4
388,Employe 0388,4
392,Employe 0392,4
393,Employe 0393,4
398,Employe 0398,4
402,Employe 0402,4
405,Employe 0405,4
410,Employe 0410,4
412,Employe 0412,4
414,Employe 0414,4
422,Employe 0422,4
425,Employe 0425,4
432,Employe 0432,4
434,Employe 0434,4
442,Employe 0442,4
443,Employe 0443,4
448,Employe 0448,4
453,Employe 0453,4
455,Employe 0455,4
456,Employe 0456,4
458,Employe 0458,5
459,Employe 0459,5
460,Employe 0460,5
468,Employe 0468,5
477,Employe 0477,5
484,Employe 0484,5
489,Employe 0489,5
492,Employe 0492,5
503,Employe 0503,5
505,Employe 0505,5
507,Employe 0507,5
511,Employe 0511,5
516,Employe 0516,5
520,Employe 0520,5
522,Employe 0522,5
527,Employe 0527,5
534,Employe 0534,5
538,Employe 0538,5
539,Employe 0539,5
540,Employe 0540,5
542,Employe 0542,5
548,Employe 0548,5
550,Employe 0550,5
552,Employe 0552,5
556,Employe 0556,5
558,Employe 0558,5
560,Employe 0560,5
562,Employe 0562,5
565,Employe 0565,5
566,Employe 0566,5
577,Employe 0577,6
580,Employe 0580,6
583,Employe 0583,6
585,Employe 0585,6
587,Employe 0587,6
591,Employe 0591,6
596,Employe 0596,6
607,Employe 0607,6
608,Employe 0608,6
611,Employe 0611,6
616,Employe 0616,6
617,Employe 0617,6
618,Employe 0618,6
619,Employe 0619,6
626,Employe 0626,6
628,Employe 0628,6
629,Employe 0629,6
630,Employe 0630,6
634,Employe 0634,6
636,Employe 0636,6
642,Employe 0642,6
643,Employe 0643,6
645,Employe 0645,6
649,Employe 0649,6
652,Employe 0652,6
659,Employe 0659,6
669,Employe 0669,6
674,Employe 0674,6
679,Employe 0679,6
680,Employe 0680,6
683,Employe 0683,7
687,Employe 0687,7
689,Employe 0689,7
694,Employe 0694,7
696,Employe 0696,7
698,Employe 0698,7
705,Employe 0705,7
707,Employe 0707,7
712,Employe 0712,7
714,Employe 0714,7
720,Employe 0720,7
723,Employe 0723,7
724,Employe 0724,7
725,Employe 0725,7
728,Employe 0728,7
729,Employe 0729,7
734,Employe 0734,7
735,Employe 0735,7
744,Employe 0744,7
746,Employe 0746,7
747,Employe 0747,7
754,Employe 0754,7
755,Employe 0755,7
758,Employe 0758,7
760,Employe 0760,7
762,Employe 0762,7
763,Employe 0763,7
770,Employe 0770,7
772,Employe 0772,7
774,Employe 0774,7
782,Employe 0782,8
786,Employe 0786,8
795,Employe 0795,8
796,Employe 0796,8
802,Employe 0802,8
803,Employe 0803,8
808,Employe 0808,8
811,Employe 0811,8
818,Employe 0818,8
822,Employe 0822,8
824,Employe 0824,9
829,Employe 0829,9
832,Employe 0832,9
836,Employe 0836,9
838,Employe 0838,9
842,Employe 0842,9
845,Employe 0845,9
846,Employe 0846,9
847,Employe 0847,9
849,Employe 0849,9
854,Employe 0854,9
858,Employe 0858,9
860,Employe 0860,9
864,Employe 0864,9
866,Employe 0866,9
872,Employe 0872,9
875,Employe 0875,10
876,Employe 0876,10
882,Employe 0882,10
883,Employe 0883,10
886,Employe 0886,10
