SK_AGENCE,SK_UTILISATEUR,total_comptes,production_credits,collecte_epargne
1,32,331.8,315.8,186.4
1,86,337.6,313.6,205.5
1,99,404.6,275.0,202.2
1,101,309.8,257.1,178.4
1,104,400.3,276.3,150.3
1,114,385.4,310.2,194.6
2,131,308.3,250.7,147.7
2,141,349.0,283.8,217.7
2,148,330.6,297.4,175.4
2,180,387.1,271.5,174.4
2,196,308.9,253.0,156.4
2,223,415.0,298.7,153.6
3,247,763.6,688.2,409.8
3,264,371.6,287.6,241.6
3,319,380.9,338.9,198.9
3,327,375.4,273.3,171.7
3,331,342.3,254.7,216.1
4,360,330.0,269.4,196.1
4,364,348.4,209.5,172.8
4,371,383.3,325.7,205.5
4,388,319.8,306.9,164.7
4,402,392.8,230.8,151.2
4,456,410.0,242.5,203.1
5,477,382.7,316.4,230.1
5,527,472.2,263.3,151.9
5,540,813.2,596.7,382.4
5,556,316.9,304.1,260.5
5,560,358.5,293.3,204.3
6,577,365.0,244.0,191.0
6,607,327.3,275.7,192.6
6,616,336.7,261.8,131.7
6,628,355.0,292.4,169.2
6,634,315.8,276.7,127.1
6,643,430.9,278.8,203.2
7,707,313.4,269.5,149.1
7,714,330.9,278.2,177.1
7,723,418.5,220.7,164.0
7,729,357.7,228.9,108.3
7,770,283.5,265.1,173.6
7,774,351.0,208.0,175.9
8,782,131.7,100.2,56.7
8,795,137.6,108.0,59.3
8,796,412.5,314.6,188.0
8,808,138.2,96.3,61.1
9,836,178.0,134.7,53.9
9,842,168.7,121.9,92.1
9,846,166.9,113.2,93.1
9,847,202.2,129.6,68.1
9,866,163.7,110.0,73.9
9,872,140.2,107.4,95.2
10,886,175.8,117.8,90.5
10,887,365.7,306.6,163.1
10,902,189.9,122.1,67.8
10,908,201.9,164.0,77.7
10,910,170.9,143.1,103.1
11,930,153.6,134.7,85.3
11,938,143.2,132.9,75.2
11,942,188.8,130.8,63.1
11,951,181.1,121.7,89.1
11,961,157.7,137.1,51.9
11,964,163.8,106.0,75.2
12,980,436.4,385.2,276.9
12,1003,371.1,256.4,171.2
12,1007,210.5,143.0,80.3
13,1040,156.9,132.3,70.0
13,1051,344.7,230.8,177.8
13,1068,159.3,129.6,92.3
13,1070,106.6,96.1,54.6
13,1071,159.7,143.3,75.7
14,1083,119.2,109.8,61.4
14,1095,123.3,115.2,82.5
14,1103,242.2,214.4,132.7
14,1116,254.1,211.9,141.5
15,1130,172.2,144.0,85.8
15,1140,192.2,133.5,110.1
15,1144,232.8,147.2,96.3
15,1151,177.1,127.5,95.1
15,1152,195.3,133.3,71.9
15,1161,186.3,147.1,91.7
16,1180,201.3,146.7,94.2
16,1202,387.8,330.2,179.0
16,1219,244.3,136.7,92.6
16,1223,205.8,173.0,107.6
16,1229,209.9,153.4,81.3
17,1241,168.4,96.4,115.3
17,1267,145.4,105.4,98.1
17,1271,174.0,142.9,89.1
17,1274,190.8,93.9,75.3
17,1283,146.8,147.1,98.3
17,1287,144.4,120.8,77.3
18,1298,187.1,136.7,82.4
18,1307,188.5,138.8,91.6
18,1314,358.5,275.9,159.0
18,1322,138.0,129.8,86.0
18,1336,169.1,110.3,57.0
19,1343,181.2,131.5,95.2
19,1345,164.8,129.8,76.0
19,1353,163.5,133.1,76.3
19,1354,187.1,132.6,80.0
19,1371,357.1,248.8,174.1
20,1401,198.5,118.3,80.5
20,1404,375.5,245.1,159.6
20,1441,193.6,135.0,94.7
20,1442,156.3,142.3,81.2
20,1446,204.1,133.1,99.7
21,1452,222.5,157.9,114.8
21,1465,175.0,126.9,89.8
21,1483,236.8,198.0,113.8
21,1492,492.5,259.9,218.3
21,1499,192.9,179.5,94.0
22,1515,196.9,142.8,92.1
22,1541,182.2,126.0,94.0
22,1542,174.5,137.1,85.2
22,1545,183.4,120.7,78.2
22,1548,142.4,144.3,97.7
22,1560,147.1,106.9,94.5
23,1572,159.7,159.3,71.9
23,1599,175.9,114.4,84.6
23,1600,367.3,244.9,155.1
23,1609,360.6,258.2,198.0
24,1619,67.2,61.6,33.5
24,1631,87.4,58.7,36.2
24,1633,143.8,101.1,74.5
24,1637,159.0,107.8,81.9
25,1648,108.7,89.2,45.0
25,1656,217.5,159.8,121.8
26,1659,51.2,38.1,25.3
26,1667,92.1,74.8,56.9
26,1668,141.8,106.3,74.2
27,1671,367.6,271.1,178.9
28,1699,169.1,131.1,90.5
28,1704,93.6,62.5,46.5
28,1705,177.0,129.2,88.4
28,1707,96.4,77.6,43.7
29,1721,74.3,69.8,47.6
29,1725,76.8,69.2,44.6
29,1731,275.6,183.5,125.7
29,1732,76.5,49.3,37.1
30,1744,137.9,88.6,57.2
30,1748,76.5,35.2,36.4
30,1749,200.3,138.8,97.0
31,1763,151.3,105.8,77.7
31,1771,76.0,63.2,32.1
31,1781,177.6,151.4,104.8
31,1785,96.7,78.5,46.3
32,1792,87.2,69.5,35.2
32,1795,85.3,70.8,44.2
32,1806,143.3,124.5,72.7
32,1810,159.3,115.0,83.7
33,1816,82.9,56.7,36.0
33,1817,90.7,66.7,51.6
33,1819,73.2,70.3,35.7
33,1821,75.3,55.4,42.3
33,1831,75.4,66.1,44.1
33,1832,81.0,67.7,37.9
34,1847,143.7,96.4,70.4
34,1850,128.1,94.9,74.6
35,1857,163.2,111.0,76.8
35,1862,177.4,111.9,84.2
35,1864,160.3,132.1,75.2
36,1878,93.9,71.9,49.1
36,1879,174.7,114.7,97.4
36,1896,190.7,110.0,91.5
36,1898,112.8,83.9,55.0
37,1909,118.3,92.0,55.9
37,1913,130.7,94.0,63.1
37,1921,148.9,87.9,72.8
38,1923,91.0,76.8,51.1
38,1927,83.5,78.6,44.6
38,1928,109.3,63.1,41.9
39,1944,166.8,126.4,74.8
39,1954,144.4,113.2,62.7
39,1959,149.3,105.3,66.3
40,1961,60.9,32.9,27.0
40,1962,103.3,74.7,58.9
40,1971,47.1,39.5,25.0
40,1972,53.0,33.8,26.5
40,1973,48.0,36.4,24.3
41,1985,161.0,92.2,65.8
41,1988,141.4,117.8,85.5
41,1991,70.3,53.0,47.3
41,1993,79.8,48.1,47.0
42,1997,75.5,63.1,53.5
42,1999,70.3,61.5,36.9
42,2002,103.6,59.9,42.3
42,2003,65.8,59.0,46.1
42,2004,83.2,61.6,43.7
42,2009,77.7,72.4,42.8
43,2022,92.3,59.5,39.0
43,2026,71.7,64.6,28.5
43,2027,158.1,128.7,87.8
43,2038,81.7,68.6,35.3
43,2041,75.2,52.6,37.3
44,2054,88.5,80.3,46.5
44,2059,84.8,69.5,44.1
44,2068,416.1,304.8,202.8
45,2078,92.4,59.2,45.8
45,2080,179.0,110.0,95.2
45,2083,78.4,52.3,46.2
45,2085,165.7,128.7,74.8
